instagram post,prompt
"@lindsayloumusic has been making soulful, poignant music for the last decade—and today she’s giving a special live performance right here on our channel. The bluegrass-influenced singer, songwriter and musician kicks things off at 4 p.m. MDT. We hope you’ll join us from the comfort of home to enjoy a much-deserved extension of this long weekend with what is sure to be a riveting show. | #ospreypacks #thegooddaysaremade #livemusic",Create an Instagram post announcing a special live performance by @lindsayloumusic on our channel.
"""You know a moment is important when it is making your mind go numb with beauty."" - Friedrich Nietzsche | 📷 by: @canipel | Featured pack from the Poco Series #ospreypacks #thegooddaysaremade","Write an Instagram post capturing the essence of Friedrich Nietzsche's quote on beauty, featuring stunning photography."
"""Wilderness is not a luxury but a necessity of the human spirit."" - Edward Abbey
.
.
What is your favorite way to spend time in nature? | 📷 by: @danholzphoto | Featured pack from the Skarab/Skimmer Series #ospreypacks #thegooddaysaremade","Write a post highlighting the importance of nature, featuring a stunning outdoor photo and encouraging followers to share their favorite outdoor activities."
"""What better company to have in the mountains than critters that have evolved amongst them? Bergsteiger and Lachlan were born in Alaska and have been cared for by @necofriendly since they had to be bottle fed. They are the perfect adventure buddies for everything from hiking and camping to rafting and hanging out while you catch up on journaling."" | 📷 by: @nemonisky | Featured pack from the Mutant Series #ospreypacks #thegooddaysaremade","Write an Instagram post showcasing the special bond between a hiker and their Alaskan-born, bottle-fed companions in the mountains."
"During the past few months, our world has changed in ways we’ve never seen, and we’ve adapted to a new normal alongside it. This Memorial Day weekend, we hope you were able to press pause for some much-needed rest and reconnection with family and the outdoors while reflecting on those who have given everything in service to our country and communities. | 📷 by: @theroamschoolfamily | Featured pack from the Poco Series #ospreypacks #memorialday #thegooddaysaremade",Write a heartfelt message reflecting on the past few months and the importance of self-reflection on Memorial Day weekend.
"""This was a sunset hike into a night summit of Mt. Jefferson in the White Mountains of New Hampshire this past November. It was a beautiful and clear night for it and we were the only ones on the trail. Though it was a rocky and technical hike up and down, it made it all the more worthwhile when we summited by the light of the stars, moon, and our headlamps."" | 📷 by: @coreyoutdoors | Featured pack from the Manta/Mira Series #ospreypacks #thegooddaysaremade","Write a captivating post about a solo sunset hike to Mt. Jefferson's summit, highlighting the technical climb and breathtaking stargazing experience."
"""Sometimes you will never know the value of a moment until it becomes a memory."" - Dr. Seuss | 📷 by: @benexploring_ | Featured pack from the Poco Series #ospreypacks #thegooddaysaremade",Write a nostalgic post highlighting the importance of cherishing moments with stunning outdoor photography.
Happiness is a sunny day and a bicycle. | 📷 by: @danholzphoto | Featured pack from the Siskin/Salida Series #ospreypacks #thegooddaysaremade,"Write a caption highlighting the joy of cycling on a sunny day, featuring a beautiful photo."
"""Home is behind the world ahead."" - J.R.R. Tolkien | 📷 by: @kat_khoroshun @joshmcca | Featured pack from the Skarab/Skimmer Series #ospreypacks #thegooddaysaremade","Write a nostalgic caption capturing the essence of home and adventure, inspired by J.R.R. Tolkien's quote."
Nothing beats spending quality time in nature with your little adventurer! Where is your favorite place to explore with the kiddo? | 📷 by: @eric__pichardo | Featured pack from the Transporter + Poco Series #ospreypacks #ospreyambassador,"Write a post highlighting the joy of outdoor adventures with kids, featuring a stunning photo and a call to share favorite exploration spots."
"“The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.” ― Eleanor Roosevelt | 📷 @jaykolsch | Featured pack from the Arcane Series #ospreypacks #thegooddaysaremade #sustainability","Write a motivational post highlighting the importance of living life to the fullest, featuring a stunning pack from the Arcane Series."
"""This photo was taken on native Ute ground here in Colorado. I can still remember this day looking at this photo. We went to one of my favorite spots in Colorado for a weekend of camping, lake hikes & pizza. That's the awesome thing about drawing in nature, it's an opportunity to be present & I feel connected with those outdoor moments. While my outdoor adventures have been drastically limited through stay-at-home, I'm still finding tons of joy drawing in my backyard & neighborhood spots. That connection presence is still the same & is even more appreciated when discovered now in my little local adventures."" | 📷 by: @drawingfromnature | Featured pack from the Daylite Series #ospreypacks #ospreyambassador","Write a reflective post about a memorable outdoor adventure in Colorado, highlighting the importance of connection and presence."
"""Everything in nature invites us constantly to be what we are."" - Gretel Ehrlich | 📷 by: @acabanna @crisjroldan | Featured pack from the Manta/Mira Series #ospreypacks #thegooddaysaremade","Write a poetic caption highlighting the connection between nature and self-acceptance, featuring the Manta/Mira Series pack."
"“Balance is not something you find, but something you create.” - Jana Kingsford | Join us tomorrow (Wednesday) at 9AM MST for a 30 minute LIVE yoga flow with #ospreyambassador @kathleenlovesyoga! Her class is sure to get you warmed up and ready to rock your day! #ospreypacks #yoga #wednesdaymotivation","Write an inspiring post highlighting the importance of balance, featuring a yoga class with @kathleenlovesyoga."
"""Nature is a tool to get children to experience not just the wider world, but themselves."" - Stephen Moss | 📷 @kathrynsmartens | Featured pack from the Poco Series #ospreypacks #thegooddaysaremade","Write a reflective post highlighting the importance of nature in self-discovery, featuring a stunning outdoor photo."
"“If you never did you should. These things are fun and fun is good.”
- Dr. Seuss | 📷 by: @danholzphoto | Featured pack from the Daylite Kids Series #ospreypacks #thegooddaysaremade",Create a whimsical Instagram post inspired by Dr. Seuss' quote and featuring a fun outdoor scene.
We all deserve a little wanderlust. Which destination or place are you currently dreaming of? | 📷 by: @bhav621 | Featured pack from the Skarab/Skimmer Series #ospreypacks #ospreyambassador,Write a wanderlust-inspired post featuring a stunning destination and inviting followers to share their travel dreams.
"“There is always room for change, but you have to be open to that change.” – Kathryn Budig | Join us tomorrow (Thursday) at 9AM MST for a 30 minute LIVE yoga flow focused on stress relief with #ospreyambassador @sole_sister_ascending! Her class is sure to help you switch gears and find the calm! #ospreypacks #yoga #thursdaymotivation",Write an Instagram post announcing a live yoga flow class with a quote and details about the class and instructor.
"“Always go with the choice that scares you the most, because that’s the one that is going to require the most from you.” - Caroline Myss | 📷 by: @jend._.702 | Featured pack from the Seral/Savu Series #ospreypacks #thegooddaysaremade","Write a motivational post featuring a quote by Caroline Myss, highlighting the importance of taking risks."
Seek adventures that open your mind. | 📷 by @elizasampey | Featured pack from the Seral/Savu Series #ospreypacks #thegooddaysaremade,Write an Instagram post that captures the essence of adventure and self-discovery.
"From walking the steps in your house to working out in a tiny apartment space to wandering your backyard, we want to see how you’re staying active at home—and the new way you’re using your Osprey pack. Post a photo or video of how you’re maintaining your fitness routine at home with Osprey by using the hashtag #MyOspreyWorkout and you could win a pack for your future adventures! | 📷 by: @nellyattar | Featured pack from the Aether/Ariel Series",Create an engaging post showcasing creative home workouts with Osprey pack and encourage followers to share their own experiences.
"Tune into our account today at 4 p.m. MST for a live concert from Lech Wierzynski, lead vocalist and multi-instrumentalist of the @cahoneydrops. Born in Warsaw, Poland, Wierzynski learned his vocal stylings from contraband American recordings of Sam Cooke, Ray Charles and Louis Armstrong. For the past decade, he’s been performing vibrant, energetic songs with the Honeydrops all over the world, but today his special solo performance is just for you. Get ready to sing and dance—all from the comfort of home. | 📷 by: @ak.instagraphs | #ospreypacks #liveinconcert","Create an engaging post announcing a live concert from Lech Wierzynski, highlighting his unique vocal style and solo performance."
"Life is meant for spectacular adventures. Let your feet wander, your eyes marvel, and your soul ignite. | 📷 by: @josebilingue | Featured pack from the Duro/Dyna Series #ospreypacks #ospreyambassador","Write an inspiring post highlighting the thrill of adventure travel, featuring stunning visuals and brand partnership."
Move the body. Still the mind. | 📷 by: @k_sealer | Featured pack from the Duro/Dyna Series #ospreypacks #ospreyambassador,"Write a motivational caption highlighting the importance of balance in life, featuring @k_sealer's photo."
"""This photo is from an outing on one of Revelstoke's awesome bike trails. This was my first time checking out the, at the time, new sunnyside trail. Which gently winds up through lush forest at the base of mount Cartier and then is followed by a super fun jump flow trail down. It's a stellar trail, so it's hard to resist multiple laps."" | 📷 by: @vincentschnabl | Featured pack from the Siskin/Salida Series #ospreypacks #ospreyambassador #thegooddaysaremade","Write a post showcasing a scenic bike trail in Revelstoke, highlighting the Sunnyside Trail's features and rider's experience."
"""The night before I was set to begin my hike up Mount Whitney, I decided to explore the Alabama Hills after dark. This place makes you feel like you’re on another planet day or night. My Kestrel 32 is my go to pack for all my camera gear as I capture the light in the darkness."" | 📷 by: @matthewnewmanphotography | Featured pack from the Kestrel/Kyte Series #ospreypacks #thegooddaysaremade","Write a post about a nighttime adventure in Alabama Hills, featuring a photographer's gear and a Kestrel pack."
"Following the success of his acclaimed podcast, “The Adventure Stache,” professional mountain biker and #ospreyathlete @paysonmcelveen has launched a new video series; StacheTV! In episode 1 with @reggiemillertnt, he takes on tight switchbacks, learns how rhythm is key for a good jump shot and hears a previously untold story about Kobe Bryant.
🚴
“The bike is often the common thread that brings me in contact with these characters, but their expertise in things outside the bike world is really what makes me want to hang around and learn from them. This series is a fun expression of those shared experiences.” | Click the link in our bio to watch the full episode! | Video by: @mitchellmitchellfilms | #StacheTV #YouTubeseries #mtb #thegooddaysaremade #ospreypacks","Create a post announcing the launch of StacheTV, a new video series featuring mountain biker Payson McElveen and his guests."
"Whether you’re at home or in the backcountry, you’re always running interference for your kids and if you can keep your child from running wild through the Costco parking lot, you can keep them from running off a cliff. Learning how to take care of your kids in the wild is simply learning how to run interference in a new environment.
.
.
To help you find confidence in that new skill, @cary.forward put together five tips for taking your children into the backcountry. Head to the link in our bio to check them out! | 📷: @cary.forward | Featured pack from the Poco Series #ospreypacks #thegooddaysaremade",Write an Instagram post highlighting the importance of teaching kids wilderness survival skills and promoting a featured pack from the Poco Series.
"""The soul always knows what to do to heal itself. The challenge is to silence the mind."" - Caroline Myss | 📷 by: @danholzphoto | Featured pack from the Archeon Series #ospreypacks #thegooddaysaremade","Write a motivational post highlighting the importance of self-healing and mindfulness, featuring a stunning outdoor photo."
"""Feeling that your life is on the edge doesn't mean that you're going to end up falling. Find the balance to stay strong and carry on."" - Ritu Ghatourey | 📷 by: @beardofbeez | Featured pack from the Katari/Kitsuma Series #ospreypacks #thegooddaysaremade","Write a motivational post highlighting the importance of balance in life, using a quote from Ritu Ghatourey."
"""Some beautiful paths can't be discovered without getting lost."" - Erol Ozan | 📷 by: @mike_vurtle | Featured pack from the Seral/Savu Series #ospreypacks #thegooddaysaremade","Write a poetic caption highlighting the beauty of getting lost, featuring stunning outdoor photography."
"""A mind that is stretched by a new experience can never go back to its old dimensions."" - Oliver Wendell Holmes | 📷 by @virginielafreniere @julienjeanson_ | Featured pack from the Kestrel/Kyte Series #ospreypacks #thegooddaysaremade",Write an inspiring post highlighting the transformative power of new experiences.
"We are a proud supporter of @rompglobal and their annual event, Climbing for ROMP. Each year, their climb team comes together on Ecuador’s highest peaks to show the world the power of mobility as they fight for fair access to prosthetic care. Click the link in our bio to watch their amazing new film “In Her Shoes” about the 2019 team, including two women from vastly different backgrounds who share a common disability, and attempt to summit Cotopaxi with one goal: mobility for all. | #rompglobal #ospreypacks #mobilityforall #whatsyourmountain","Write a post highlighting ROMP's annual Climbing for ROMP event, featuring a new film and a mission for mobility for all."
Life begins at the end of your comfort zone. | 📷 by: @beardofbeez | Featured pack from the Seral/Savu Series #ospreypacks #thegooddaysaremade,"Write a motivational caption highlighting the importance of stepping out of comfort zones, featuring a stunning pack from the Seral/Savu Series."
"Giveaway reminder! 🚲  While we’re spending more time indoors than ever before, we can’t help but dream about chasing our singletrack crew down dusty ribbons of dirt. To get you prepared for your next ride—whenever that may be—we teamed up with our friends at @wild_rye_, @pnwcomponents, @skidagram, @tailwindnutrition and @point6socks to give away an enviable women’s-specific kit that will bring your mountain biking game to the next level. Enter via the link in bio!",Create a giveaway reminder post highlighting a women's-specific mountain biking kit.
Life was made for good friends and great adventures. Tag your adventure pup in the comments! | 📷 by: @_ends_of_the_earth | Featured pack from the Manta/Mira Series #ospreypacks #thegooddaysaremade,"Write an Instagram post celebrating friendship and adventure, featuring a photo of a person and their dog."
"While we’re spending more time indoors than ever before, we can’t help but dream about chasing our singletrack crew down dusty ribbons of dirt. To get you prepared for your next ride—whenever that may be—we teamed up with some amazing brands to give away an enviable women’s-specific kit that will bring your mountain biking game to the next level.
.
.
👉 Enter via link in bio! (US Only)","Create an Instagram post announcing a women's-specific mountain biking kit giveaway, highlighting the importance of staying prepared for the next ride."
"The most beautiful things in life are not things. They're people, and places memories and pictures. They're feelings and moments and smiles and laughter. | 📷 by: @michellecraigphotography | Featured pack from the Moki + Siskin/Salida Series #ospreypacks","Write a heartfelt caption highlighting the importance of people, places, and memories in our lives."
"""Bikepacking means bringing a marginal amount of gear and only packing the essentials… like a banjo. In this photo, Aaron rides through a small fishing village in Costa Rica during our trip in January with his banjo tucked securely in his pack. With an instrument in tow, he even scored a gig in exchange for room and board one night!” | 📷 by: @em.sierra | Featured pack from the Manta/Mira Series #ospreypacks #thegooddaysaremade","Write a captivating caption highlighting the adventure, music, and packing essentials of bikepacking in Costa Rica."
"Sore today, stronger tomorrow | #OspreyAthlete @paysonmcelveen will be taking over our feed today! Tune into our story throughout the day as he discusses staying fit while at home, basic bike maintenance tips, and most importantly, how to make a winning charcuterie plate. | 📷: J. Vargus |  #ospreypacks #thegooddaysaremade #solofordurango","Write a motivational post featuring Osprey Athlete Payson McElveen, highlighting his fitness routine and charcuterie plate recipe."
"This Earth Day we can’t gather in public and occupy spaces to share our voice, but we remain united in our love for the planet and all its natural spaces, urban and wild.
.
.
To see the full video, head over to @Pattiegonia's Instagram!  #DearHumanity #LovePlanetEarth #EarthDay2020 | @Wondercamp.co",Write a heartfelt Earth Day message emphasizing unity and love for the planet despite physical distancing.
"“Be fearless in the pursuit of what sets your soul on fire.” - Jennifer Lee
.
.
Who is dreaming about hitting the singletrack? 🙋 | 📷 by: @louisarevalo | Featured pack from the Raptor/Raven Series #ospreypacks #thegooddaysaremade","Write an inspiring post featuring a mountain biker in action, highlighting the thrill of pursuing one's passion."
"With his 2020 race schedule still uncertain, #ospreyathlete @paysonmcelveen's training looks a little different these days. From online group rides with @gozwift to solo dirt road sessions, Payson has had to get creative with his workouts. | How are you staying fit from home? Comment below! | 📷: J. Vargus | Featured pack from the Duro/dDyna Series #ospreypacks","Write a post showcasing Payson McElveen's unique training methods during uncertain times, highlighting creative workouts and encouraging followers to share their own home fitness routines."
"🚲GIVEAWAY!🚲 We might be logging long days on the sofa now, but that doesn’t mean we’re not thinking about long days in the saddle. To get you prepared for singletrack season, we’ve teamed up with some amazing brands to give away a kit full of goodies that will up your mountain biking game. Here's what our grand prize winner will receive:
•  A Seral/Savu + Raptor/Raven and IMBA sock
•  Roscoe 7 Bike from @trekbikes
•  Box of waffles + box of energy chews from @honeystinger
•  Helmet, shades, and elbow + knee pads from @shredoptics
•  Top, bottom, and innerwear from @clubrideapparel
•  A pair of Freerider Pro’s from @fiveten_official
•  Klic Floor Pump Digital + Burst Tank from @crankbrothers
👉 Head to the link in our bio to enter! (US entries only)",Create an engaging giveaway post announcing a mountain biking kit bundle and encouraging followers to enter.
"This year, as we mark its 50th anniversary, Earth Day looks different. With social distancing keeping us from gathering in groups, the world’s largest civic event is going digital for the first time in its history. Virtual events around the globe will be addressing the pressing topic of climate change and demanding action. To join the movement from home, head to the link in our bio.
.
.
At this time, we’d like to shine a spotlight on two of our non-profit partners: @protectourwinters - helping to protect the places and lifestyles we love from climate change and @conservationalliance - working to protect 16 million acres and 5,000 river miles in the U.S. and Canada. We’d love for you to give them a follow to show your support. | Featured pack from the Rook/Renn Series #ospreypacks #thegooddaysaremade",Create a digital Earth Day announcement highlighting virtual events and non-profit partners.
"""A little while back, I was able to take my daughter on this trip down the Caprock Canyons State Park Trailway. Easing this kid into more self-sufficiency has been a great experience, and she has really started to come into her own this year. We rode 13 gradually descending miles to the campsite on the western side of the Clarity Tunnel. We had a headwind, the temperature was never above 38 F, and mist and drops of rain were an occasional element. Although we stopped to grab a snack and explore a bit of the trailway’s history, we didn’t dottle, and Eva kept the pace moving. Like most kids, one of the more fun parts of camping is getting to and setting your site up. She wanted to be there. But, like most cyclists, she also wanted to simply put her head down and move through less than ideal conditions to our destination.
.
.
She never once complained, and after getting to camp, was nothing but a walking smile, briefly checking out the tunnel we we would explore the next morning, raiding the larder on my bike (even though she carried all her food on hers), and watching the mist and rain roll over the hills roughly undulating away from the Caprock Escarpment.""
.
.
📷 by: @jerodfoster | Featured pack from the Jet Series #ospreypacks #thegooddaysaremade","Write a reflective post about a memorable camping trip with your daughter, highlighting her growth and resilience."
“A bicycle ride around the world begins with a single pedal stroke”- Scott Stoll | 📷 by: @funcle_carl | Featured pack from the Raptor/Raven Series #ospreypacks #thegooddaysaremade #mtb,"Write a motivational post highlighting the importance of taking the first step, featuring a scenic bike ride and Osprey packs."
"“Aim for the sky, but move slowly, enjoying every step along the way. It is all those little steps, that makes the journey complete.” - Chanda Kochhar | 📷 by: @themckissacks | Featured pack from the Talon/Tempest Series #ospreypacks #thegooddaysaremade","Write a motivational post highlighting the importance of slow and steady progress, featuring a scenic photo."
"""All we have to decide is what to do with the time that is given us.” - J.R.R. Tolkien | 📷 by: @louisarevalo | Featured pack from the Syncro/Sylva Series #ospreypacks #thegooddaysaremade","Write a post highlighting the importance of making the most of time, featuring a stunning photo of the Syncro/Sylva Series pack."
"""Somewhere, something incredible is waiting to be known.”- Carl Sagan | 📷 by: @danholzphoto | Featured pack from the Manta/Mira Series #ospreypacks #thegooddaysaremade","Write a captivating caption inspired by Carl Sagan's quote, highlighting the adventure and discovery."
"Tune in tomorrow, April 16th at 4 p.m. MST as Osprey presents Colorado singer-songwriter, @drodriguezmusic, live in concert. With over a decade performing in the folk band Elephant Revival as one of its founding members and lead songwriters, Rodriguez will give a special solo performance right here on our Instagram. We can’t wait to wind down the week with his memorable, melodic hooks—and we hope you’ll join us! | #ospreypacks #thegooddaysaremade #music",Write a post announcing a live concert event featuring @drodriguezmusic on April 16th at 4 p.m. MST.
"""Emotional toughness or grit is more of the battle than the physical side. We are capable physically of way more than our minds allow us. And sometimes, it takes really bad moments in the past to give yourself full appreciation of the moment you have now."" | Flashback to April 2019 when #ospreyathlete @paysonmcelveen set out to tackle one of the most iconic records in American cycling: the White Rim MTB Trail. Click the link in our bio to watch his film, Standing Man on Red Bull TV. 📷: J Vargus | #ospreyathlete #ospreypacks","Write a post highlighting the mental aspect of endurance, featuring Payson McElveen's record-breaking attempt on the White Rim MTB Trail."
"🚲GIVEAWAY!🚲 We might be logging long days on the sofa now, but that doesn’t mean we’re not thinking about long days in the saddle. To get you prepared for singletrack season, we’ve teamed up with some amazing brands to give away a kit full of goodies that will up your mountain biking game. Here's what our grand prize winner will receive:
•  A Seral/Savu + Raptor/Raven and IMBA sock
•  Roscoe 7 Bike from @trekbikes
•  Box of waffles + box of energy chews from @honeystinger
•  Helmet, shades, and elbow + knee pads from @shredoptics
•  Top, bottom, and innerwear from @clubrideapparel
•  A pair of Freerider Pro’s from @fiveten_official
•  Klic Floor Pump Digital + Burst Tank from @crankbrothers
👉 Head to the link in our bio to enter! (US entries only)",Create an exciting giveaway post announcing a mountain biking kit bundle and encouraging US followers to enter.
"""Keep your face to the sunshine and you cannot see a shadow."" - Helen Keller | 📷 by: @mydogismyaunt | Featured pack from the Stratos/Sirrus Series #ospreypacks #thegooddaysaremade","Write a motivational post highlighting Helen Keller's quote, featuring a scenic photo of a pack from the Stratos/Sirrus Series."
"""The right pack can make you see the world in a different way. This rang true for Matias, the youngest member of a scientific expedition to Glacial Exploradores in the heart of Chilean Patagonia. This 4th grader became the official field assistant to entomologist and National Geographic Explorer, Dr. Isaí Madriz (@IsaiMadriz), who led the largest research expedition to record the behavior of the glacial stonefly (Andiperla sp.) last February. Dr. Madriz’s minimalist insect collection kit was contained within the Seral Pack, which became the ideal mobile lab for the young assistant. Matias loved it so much he nicknamed it “Nerd Pack: Full Edition”, as it contained everything a 9-year-old entomologist could wish for. At the end of the expedition Matias gained a whole new appreciation for the natural world surrounding him, so much so that he asked his dad (featured in the third photo, @patagontorres) for a “Nerd Pack: Full Edition” for his next birthday. Osprey has been helping Dr. Madriz spearhead the only year-round insect conservation work in Aysén, Patagonia.” | 📷: @Rigojofre | Featured pack from the Seral and Savu Series  #ospreypacks #thegooddaysaremade",Create a captivating post highlighting the Seral Pack's versatility as a mobile lab for young entomologist Matias on a scientific expedition in Patagonia.
"It was spring of 2019 and I was riding the high of my recent Arizona Trail Race finish. The weather was great and I was riding stronger than ever so I headed north in my van to ride everything I could between Arizona and Washington and see as many friends as possible along the way.
.
.
With the deep snow pack of the 2018/2019 winter, I hit Moab in prime conditions in late May, and convinced my friends Doom and Dylan to meet me for a rip down the Whole Enchilada. It was a stunning day; spirits were high and our whoops and hollers were in full effect. I had nowhere in particular to be and nothing pressing to do besides ride fast and live slow; it was a carefree time of playful bliss before focusing on my next project. | 📷 by: @elizasampey | Featured pack from the Raptor/Raven Series #ospreypacks #thegooddaysaremade #ospreyambassador","Write a nostalgic post about a 2019 adventure, featuring a thrilling Whole Enchilada ride in Moab."
"A few things helping Outdoor Afro DMV leader, @outdoorsaround_bmore stay busy while staying home. How have you been spending your time? | 📷 by: @outdoorsaround_bmore | Featured pack from the Skarab/Skimmer Series #ospreypacks #thegooddaysaremade","Write a post highlighting the outdoor enthusiast's daily routine while staying home, featuring a photo of their Skarab/Skimmer Series pack."
“What a wonderful thought it is that some of the best days of our lives haven't even happened yet.” –Anne Frank. | 📷 by: @elizasampey | Featured pack from the Seral/Savu Series #ospreypacks #ospreyambassador #thegooddaysaremade,"Write an inspirational post quoting Anne Frank, featuring a stunning photo by @elizasampey, and highlighting the Seral/Savu Series packs."
"Dreaming about hitting the singletrack? We’ve teamed up with @trekbikes, @honeystinger, @shredoptics, @clubrideapparel, @fiveten_official and @crankbrothers to make sure you’re prepared. Enter via the link in our bio and tag a friend in the comments for a chance to win your new MTB kit! #ospreypacks #mtb #giveaway #thegooddaysaremade","Write a post announcing a mountain bike giveaway with 6 partner brands, encouraging followers to enter and tag a friend."
"“SIMAMA!” was one of the first words I was taught in Swahili to help me get by. It means to stop, or stand still. I had been hanging off the back of a rickety old motorcycle, aka pikipiki (which is way more fun to say, by the way), with one hand dangling with my camera shooting wildly and the other gripping the metal bar I was straddling, trying to balance and absorb the bumps from the muddy terrain. I had been shooting my friend @nicholekbaker, a pathologist assistant PA and mountain biker, as she ventured into the backcountry of Uganda by bicycle. Nichole was working to improve third world medicine and had big dreams to make it happen. Coming from a place of healing and recovery, focusing her time and energy on helping others was just what she needed to move forward. | Click the link in our bio to learn about Nichole’s work with Path of Logic and how they have supplied communities with solar lights from @mpowerdinc, allowing students to study past sunset and into the dark of night, increasing their odds at successfully passing examinations. | 📷by: @kylie.fly | Featured pack from the Siskin/Salida Series #ospreypacks","Write a captivating travel story about a Swahili phrase, capturing the essence of adventure and humanitarian work in Uganda."
"The schools Nichole visits focus on elementary aged students, which includes students who are testing into secondary school. It is often the case that many students do not have electricity or power in the home and cannot study past dark. Providing solar lights to these students allows them to study past sunset and into the dark of night, increasing their odds at successfully passing examinations. Many of her stops are impromptu, encouraged by smiling faces and running children who are curious about her bicycle.
.
.
@nicholekbaker’s work in Uganda is a good reminder to “simama,” or stand still in our gratitude for the resources, health and freedom we have to explore our passions and pursue meaningful work within our own communities and across the globe. Every new travel experience is enriched by a deeper recognition, understanding and appreciation of the wonderful planet we live on and the people we get to share it with. | 📷 by:@kylie.fly | Featured pack from the Siskin/Salida Series #ospreypacks","Write a heartfelt post highlighting Nichole's solar light initiative in Uganda, emphasizing the impact on students' education."
“Life is like riding a bicycle. In order to keep your balance you must keep moving” - Albert Einstein | 📷 by: @danholzphoto | Featured pack from the Seral/Savu Series #ospreypacks #thegooddaysaremade,"Write a motivational post featuring a quote by Albert Einstein, accompanied by a scenic photo of a pack from the Seral/Savu Series."
"""She’s having such a lovely time admiring the world, she’s so happy! This is one of the best things we’ve got for Arla, we love going for walks & having this makes it so much easier."" | 📷 by: @hannahswancott | Featured pack from the Poco Series #ospreypacks #thegooddaysaremade","Write a post showcasing a happy moment with Arla, highlighting the benefits of Osprey Packs' Poco Series."
"""Managing snowball fights, blisters, tired kids, peeing in the woods and elevation sickness. Deep down, we just want to experience these moments with our kids. We want to teach them resilience and that most of life is uphill but it's worth the climb. There are always obstacles, most of the time we're tired and expectations are not always met but we all go for it anyway because, in the end, there are lessons, there are memories being made, relationships are being built, we are all overcoming our own obstacles and we are all stronger because of it."" | 📷 by: @withlove_tere | Featured pack from the Poco Series #ospreypacks #thegooddaysaremade","Write a heartfelt post about the challenges and rewards of family adventures, highlighting the importance of resilience and memories."
"""That's why I like capturing the night sky - because I'll be able to say 'there it is'.""
.
.
'THRU | The Pacific Northwest' is an upcoming film project capturing a 1,200-mile journey thru the wildest wilderness corridor in the lower-48. Short films, pictures and interviews from the hike will be released every month leading up to its premiere in 2020! | www.THRUfilm.com","Write a post capturing the essence of adventure and exploration, highlighting the thrill of capturing the night sky."
"The Mid South Gravel Race is a 100 mile race that, this year, was full of soaking wet, deep red clay mud roads. 1400 riders started and about 400 finished. Osprey athletes @paysonmcelveen and @hannah_finchamp took first place in both the men’s and women’s categories. Congrats on the incredible achievements! | 📷 by: J Vargus | Featured pack from the Duro/Dyna Series #ospreypacks #ospreyathlete","Write a post highlighting the grueling 100-mile Mid South Gravel Race, featuring Osprey athletes' victories and stunning muddy roads."
"A beautiful day begins with a beautiful mindset. ☀️
.
.
What inspires you the most? Tell us in the comments! | 📷 by: @charichinyoungcaston | Featured pack from the Atmos/Aura Series #ospreypacks #thegooddaysaremade",Write a motivational post highlighting the importance of a positive mindset and ask followers to share their inspirations.
"""The important thing is not to stop questioning. Curiosity has its own reason for existing."" - Albert Einstein | 📷 by: @jordan.wesolek @livideohead | Featured pack from the Talon/Tempest Series #ospreypacks #thegooddaysaremade","Write a thought-provoking caption highlighting the importance of curiosity and questioning, featuring a stunning photo of the Talon/Tempest Series pack."
"""It is the unknown around the corner that turns my wheels."" - Heinz Stucke | 📷 by: @knarles_gage | Featured pack from the Seral/Savu Series #ospreypacks #ospreyambassador","Write a captivating post featuring a stunning photo by @knarles_gage, highlighting the Seral/Savu Series pack from Osprey."
"""Energy rightly applied and directed will accomplish anything."" - Nellie Bly | 📷 by: @danholzphoto | Featured pack from the Seral/Savu Series #ospreypacks #thegooddaysaremade","Write a motivational caption highlighting the importance of focused energy, featuring a stunning outdoor photo."
"""Those who dwell among the beauties and mysteries of the earth are never alone or weary of life."" - Rachel Carson | 📷 by: @kb_foto_ | Featured pack from the Aether/Ariel Series #ospreypacks #thegooddaysaremade","Write a poetic caption highlighting the connection between nature and human experience, referencing Rachel Carson's quote."
We sure miss sleeping under the stars but what better way to practice than to bring the outside in! Who else is camping-in this weekend? | 📷 by: @ashlee_strat | Featured pack from the Atmos/Aura Series #ospreypacks #thegooddaysaremade #socialdistancinggoals,"Write a post highlighting the importance of bringing the outdoors in, featuring a camping setup and a pack from the Atmos/Aura Series."
"""We went on a hike during the golden hour in the Valley of Fire State Park. We were treated with sweeping desert vistas, slot canyons, windows, caves, sandstone formations with brilliant contrasting colors, and not to forget — cotton candy skies."" | 📷 by: @bhav621 | Featured pack from the Stratos/Sirrus Series #ospreypacks #ospreyambassador","Write a captivating post about a breathtaking hike in Valley of Fire State Park, highlighting stunning desert landscapes and vibrant colors."
"""Wisdom begins in wonder."" - Socrates | 📷 by: @danholzphoto | Featured pack from the Rook/Renn Series #ospreypacks #thegooddaysaremade","Write a philosophical post featuring a stunning outdoor photo, highlighting the quote 'Wisdom begins in wonder'."
"""Adopt the pace of nature; her secret is patience."" - Ralph W. Emerson | 📷 by: @domfaucher @mariepier.bastien | Featured pack from the Arcane Series #ospreypacks #thegooddaysaremade","Write a serene and inspirational post highlighting the importance of patience, featuring stunning pack shots from the Arcane Series."
